Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/ProjectOne,24,24,0,"100.00"
/ProjectOne/.settings,71,71,0,"100.00"
/ProjectOne/bin,25,25,0,"100.00"
/ProjectOne/bin/Expression,487,487,0,"100.00"
/ProjectOne/bin/Simplification,1340,1340,0,"100.00"
/ProjectOne/bin/Symbolic,586,586,0,"100.00"
/ProjectOne/bin/algebra,1405,1405,0,"100.00"
/ProjectOne/bin/calculus,1130,1130,0,"100.00"
/ProjectOne/bin/code,343,343,0,"100.00"
/ProjectOne/bin/gui,673,673,0,"100.00"
/ProjectOne/bin/integer,5,5,0,"100.00"
/ProjectOne/bin/numerical,314,314,0,"100.00"
/ProjectOne/bin/polynomial,1799,1799,0,"100.00"
/ProjectOne/bin/solve,206,206,0,"100.00"
/ProjectOne/doc,3309,3309,0,"100.00"
/ProjectOne/doc/Expression,5228,5228,0,"100.00"
/ProjectOne/doc/Expression/class-use,7608,7608,0,"100.00"
/ProjectOne/doc/Simplification,2720,2720,0,"100.00"
/ProjectOne/doc/Simplification/class-use,550,550,0,"100.00"
/ProjectOne/doc/Symbolic,8163,8163,0,"100.00"
/ProjectOne/doc/Symbolic/class-use,5075,5075,0,"100.00"
/ProjectOne/doc/algebra,5450,5450,0,"100.00"
/ProjectOne/doc/algebra/class-use,1629,1629,0,"100.00"
/ProjectOne/doc/calculus,4148,4148,0,"100.00"
/ProjectOne/doc/calculus/class-use,1240,1240,0,"100.00"
/ProjectOne/doc/class-use,124,124,0,"100.00"
/ProjectOne/doc/code,4251,4251,0,"100.00"
/ProjectOne/doc/code/class-use,1882,1882,0,"100.00"
/ProjectOne/doc/gui,2577,2577,0,"100.00"
/ProjectOne/doc/gui/class-use,713,713,0,"100.00"
/ProjectOne/doc/index-files,5234,5234,0,"100.00"
/ProjectOne/doc/integer,660,660,0,"100.00"
/ProjectOne/doc/integer/class-use,124,124,0,"100.00"
/ProjectOne/doc/numerical,2489,2489,0,"100.00"
/ProjectOne/doc/numerical/class-use,744,744,0,"100.00"
/ProjectOne/doc/polynomial,6347,6347,0,"100.00"
/ProjectOne/doc/polynomial/class-use,1418,1418,0,"100.00"
/ProjectOne/doc/solve,1342,1342,0,"100.00"
/ProjectOne/doc/solve/class-use,372,372,0,"100.00"
/ProjectOne/lib,3771,3771,0,"100.00"
/ProjectOne/src,112,112,0,"100.00"
/ProjectOne/src/Expression,1474,1474,0,"100.00"
/ProjectOne/src/Simplification,4442,4442,0,"100.00"
/ProjectOne/src/Symbolic,1582,1582,0,"100.00"
/ProjectOne/src/algebra,3531,3531,0,"100.00"
/ProjectOne/src/calculus,2654,2654,0,"100.00"
/ProjectOne/src/code,879,879,0,"100.00"
/ProjectOne/src/gui,1019,1019,0,"100.00"
/ProjectOne/src/integer,6,6,0,"100.00"
/ProjectOne/src/numerical,629,629,0,"100.00"
/ProjectOne/src/polynomial,4795,4795,0,"100.00"
/ProjectOne/src/solve,537,537,0,"100.00"
